index,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
Ca$h,The Lives of Others,I Am Sam,Black Rain,Brothers,TRON: Legacy,Nowhere to Run,Cape Fear,Kabhi Alvida Naa Kehna,Anna Karenina,Ghost
Wah-Wah,Lords of Dogtown,The Brain That Wouldn't Die,Gandhi,A Single Man,The Square,Saint Ralph,Wreck-It Ralph,Anomalisa,Raising Victor Vargas,A Passage to India
The Boondock Saints,Mercy Streets,The Spiderwick Chronicles,Ronin,The Boondock Saints II: All Saints Day,The Ten,The Wind That Shakes the Barley,Water & Power,Restoration,Michael Collins,The Man from Snowy River
Twixt,All Good Things,The Lady from Shanghai,Chicken Tikka Masala,Juno,House at the End of the Street,The Majestic,I Spit on Your Grave,The Skeleton Key,The Curse of the Were-Rabbit,American Beast
Alpha and Omega: The Legend of the Saw Tooth Cave,Alpha and Omega,Rugrats Go Wild,White Fang,Indie Game: The Movie,Big Fat Liar,Surf's Up,Lost in Space,Mean Girls,Roll Bounce,The Life Aquatic with Steve Zissou
Pale Rider,Once Upon a Time in the West,Knockaround Guys,How Green Was My Valley,Paint Your Wagon,Unforgiven,The 33,Absolute Power,The Molly Maguires,Blazing Saddles,Close Range
Stargate: The Ark of Truth,The Ice Pirates,Star Wars: Episode III - Revenge of the Sith,Lost in Space,The Hitchhiker's Guide to the Galaxy,Dracula Untold,Riddick,Troy,Atlantis: The Lost Empire,Star Trek: First Contact,House on Haunted Hill
Dazed and Confused,The Slaughter Rule,Radio,The Specials,When the Game Stands Tall,Wolf,We Are Marshall,Slacker,Man of the House,Facing the Giants,Into the Wild
High School Musical 2,Exotica,High School Musical,Club Dread,High School Musical 3: Senior Year,Who's Your Caddy?,Bizarre,Detroit Rock City,Caddyshack,Little Voice,Moulin Rouge!
Two Lovers and a Bear,The Polar Express,The Santa Clause 2,The Last Airbender,The Santa Clause,Mumford,Duets,Elf,11:14,Beyond the Black Rainbow,Rambo III
Criminal Activities,My Baby's Daddy,Madea's Witness Protection,Boiler Room,That Awkward Moment,Remember the Titans,Wild Card,Diner,The Covenant,Draft Day,Drive Hard
Aimee & Jaguar,Deuce Bigalow: Male Gigolo,EuroTrip,Please Give,Smilla's Sense of Snow,Downfall,The Boy in the Striped Pyjamas,Flightplan,All The Queen's Men,Annie Get Your Gun,Tammy
The Chumscrubber,Stung,Zookeeper,The Devil Wears Prada,Zero Effect,Max Keeble's Big Move,The Names of Love,Beer League,World's Greatest Dad,Sicko,Why Did I Get Married?
Shade,Only the Strong,Enemy of the State,Speed,The Ultimate Gift,Animal House,Wreck-It Ralph,Stay Alive,On the Road,Small Time Crooks,Shooting Fish
House at the End of the Street,Divine Secrets of the Ya-Ya Sisterhood,Juno,Chocolat,Miracles from Heaven,Dream House,Harriet the Spy,Don't Be Afraid of the Dark,Freaky Friday,Lady in White,Nim's Island
Incendies,The Girl on the Train,Book of Shadows: Blair Witch 2,Simon Birch,The Kingdom,Born Of War,Cursed,Mississippi Mermaid,The Core,Running with Scissors,Star Wars: Clone Wars: Volume 1
Perrier’s Bounty,Four Brothers,In the Company of Men,The Scorpion King,The Crow,Arlington Road,3 Ninjas Kick Back,Bad Words,The Tempest,Home,Death to Smoochy
Annabelle,Loving Annabelle,The Princess Diaries 2: Royal Engagement,If I Stay,Fish Tank,The Apparition,The Dress,Zombieland,The Emperor's New Groove,The Ninth Gate,You Again
Bran Nue Dae,There Goes My Baby,The Jungle Book 2,Moonrise Kingdom,The Ridiculous 6,Ong Bak 2,The Last Time I Committed Suicide,Oliver!,Yentl,Jindabyne,Apocalypto
Boyz n the Hood,Malibu's Most Wanted,Next Friday,Machine Gun Preacher,House at the End of the Drive,Escape from L.A.,Water & Power,Class of 1984,Inherent Vice,The Young Unknowns,Volcano
La Bamba,Final Destination,The Grey,The Little Vampire,Random Hearts,We Are Marshall,The English Patient,Charlie St. Cloud,George of the Jungle,Becoming Jane,Flight
The Four Seasons,Larry Crowne,American Beauty,Should've Been Romeo,Hope Springs,Hustle & Flow,Lolita,Sideways,3 Backyards,The First Wives Club,Wild Target
Dressed to Kill,Phantasm II,Rubber,Legally Blonde,Don't Say a Word,Fear Clinic,Pink Narcissus,The Prince of Tides,Dragonfly,Veronika Decides to Die,She Wore a Yellow Ribbon
The Adventures of Huck Finn,Sphinx,Fantasia,Saving Mr. Banks,Everything Put Together,Tuck Everlasting,School of Rock,Crying with Laughter,Recess: School's Out,Stuck on You,Bubba Ho-tep
Go,Casino,Vantage Point,Showgirls,Supercross,Wild Card,Sparkler,Ocean's Eleven,Last Vegas,Think Like a Man Too,Fear and Loathing in Las Vegas
Friends with Money,Dream House,The Spanish Prisoner,Supporting Characters,Bad Teacher,Inside Llewyn Davis,The Yards,She Wore a Yellow Ribbon,Funny Ha Ha,She's Gotta Have It,Harsh Times
The Andromeda Strain,Space Cowboys,The Thing,Everything Must Go,Def-Con 4,Pat Garrett & Billy the Kid,The Core,Sky Captain and the World of Tomorrow,Airplane!,Extreme Measures,Gravity
Bats,"Happy, Texas",The Best Little Whorehouse in Texas,No Country for Old Men,Blazing Saddles,The Art of War,The River Wild,Eye of the Beholder,Robin Hood: Prince of Thieves,Crocodile Dundee II,Unnatural
Shame,Boys Don't Cry,Dum Maaro Dum,Bananas,Capote,27 Dresses,Kicks,Snow Angels,#Horror,Blue Car,The Wedding Date
Layer Cake,Janky Promoters,Jawbreaker,The Straight Story,The Singing Detective,Nothing to Lose,Red Planet,Equilibrium,Boat Trip,High Road,Ed and His Dead Mother
The Work and the Glory II: American Zion,"Peace, Propaganda & the Promised Land",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"The Book of Mormon Movie, Volume 1: The Journey",Torn Curtain,An American Carol,Higher Ground,Light from the Darkroom,Still Alice,Gone with the Wind,The Matrix Reloaded
The East,Act of Valor,2 Guns,Stone Cold,Underclassman,Chairman of the Board,Confessions of a Dangerous Mind,The Losers,Jason Bourne,Fantastic Four,Atonement
A Home at the End of the World,New in Town,The Broken Hearts Club: A Romantic Comedy,Tom Jones,Never Again,Darling Companion,The Jacket,The Next Best Thing,Silent Running,Saving Face,Milk
Aberdeen,Jane Got a Gun,The Pallbearer,The Perez Family,Smoke Signals,Sea of Love,Wonder Boys,The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Easy Money,Dom Hemingway,Before Sunset
The Messenger,The Men Who Stare at Goats,Stripes,One Man's Hero,Sands of Iwo Jima,Fury,Judgment at Nuremberg,Ravenous,The Lucky Ones,Soldier,"Run, Hide, Die"
Tracker,The Life of David Gale,Guiana 1838,A Time to Kill,Buffalo Soldiers,Firefox,For Your Eyes Only,All The Queen's Men,Tsotsi,Four Weddings and a Funeral,Dil Jo Bhi Kahey...
Control,Rock Star,The Doors,Metallica: Through the Never,Sugar Town,Coal Miner's Daughter,The Last Waltz,The Perfect Wave,Soul Men,Drumline,Beyond the Valley of the Dolls
The Terminator,Terminator 2: Judgment Day,Terminator Salvation,Silent House,Just Married,Minority Report,The Book of Eli,Show Me,Terminator 3: Rise of the Machines,Must Love Dogs,The End of the Affair
"Good bye, Lenin!",Torn Curtain,A Dog Of Flanders,Downfall,Something's Gotta Give,Barbecue,The White Ribbon,Lovely & Amazing,Bogus,Saint Ralph,Under the Same Moon
The Damned United,Crossover,Boogeyman,The Amazing Spider-Man 2,Moneyball,Bringing Down the House,The Amazing Spider-Man,The Jungle Book 2,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Beneath the Planet of the Apes,Dead Man Down
The Return of the Living Dead,The Simpsons Movie,Safety Not Guaranteed,Eden,Restoration,Return of the Living Dead 3,Airplane!,Mad Money,Iraq for Sale: The War Profiteers,Machete,"Synecdoche, New York"
Mallrats,Paul Blart: Mall Cop,Light from the Darkroom,Friday After Next,Bride Wars,Kicks,The Dirties,No Strings Attached,Monsters University,My Baby's Daddy,Breakin' All the Rules
Grease,Flipper,Forget Me Not,Bachelorette,River's Edge,All the Real Girls,Bandslam,Mao's Last Dancer,Diary of a Wimpy Kid: Dog Days,Ghost World,21 Jump Street
Platoon,"Good Morning, Vietnam",Journey from the Fall,We Were Soldiers,Beneath the Planet of the Apes,Smiling Fish & Goat On Fire,Far from Heaven,Warcraft,Pandora's Box,Born on the Fourth of July,Rescue Dawn
Fahrenheit 9/11,Capitalism: A Love Story,Taxi to the Dark Side,Slacker Uprising,W.,Sicko,Invasion U.S.A.,Lake of Fire,The Devil Inside,Roger & Me,School Daze
Butch Cassidy and the Sundance Kid,The Lone Ranger,Torque,West Side Story,Blackthorn,On The Downlow,Our Brand Is Crisis,The Legend of the Lone Ranger,Proof of Life,Sisters in Law,The Assassination of Jesse James by the Coward Robert Ford
Mary Poppins,Nanny McPhee,Nanny McPhee and the Big Bang,The Tempest,Krrish,Valiant,The Big Year,"An Alan Smithee Film: Burn, Hollywood, Burn",Happy Feet Two,Disaster Movie,Grand Theft Parsons
Ordinary People,Like Mike,Little Man,The Cat in the Hat,"I Love You, Beth Cooper",The Good Guy,The Game,Adam,The Lucky One,Barbershop 2:  Back in Business,Barbershop
West Side Story,Torque,The Outsiders,The Lone Ranger,Deuces Wild,Never Again,Gory Gory Hallelujah,High Noon,Gran Torino,Dear Wendy,Heartbeeps
Caddyshack,High School Musical 2,The In Crowd,Tin Cup,The Ides of March,Another Earth,Who's Your Caddy?,Happy Gilmore,The Legend of Bagger Vance,Teen Wolf Too,Everything Must Go
The Brothers,Guess Who,Everyone Says I Love You,Proud,The Brass Teapot,Red Tails,Halloween II,Maurice,The Thomas Crown Affair,Housebound,Instructions Not Included
The Wood,Paranormal Activity,Guess Who,Proud,Light from the Darkroom,The Help,Slums of Beverly Hills,Red Tails,Bride Wars,Ghost Dog: The Way of the Samurai,Romeo Must Die
The Usual Suspects,Dead Man Down,Street Fighter: The Legend of Chun-Li,The Sting,Tango & Cash,The Mask,The Death and Life of Bobby Z,Nebraska,Amadeus,Braveheart,The Lord of the Rings: The Return of the King
A Nightmare on Elm Street 5: The Dream Child,A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street Part 2: Freddy's Revenge,Freddy vs. Jason,A Nightmare on Elm Street 3: Dream Warriors,Alice Through the Looking Glass,Lake Mungo,New Nightmare,Resident Evil: Afterlife,Straightheads,Khiladi 786
National Lampoon’s Van Wilder,I Got the Hook Up,He Got Game,Dysfunctional Friends,Little Miss Sunshine,When Did You Last See Your Father?,Mona Lisa Smile,The Best Man Holiday,Larry Crowne,The Omega Code,The Dress
The Wrestler,Beyond the Mat,Virgin Territory,Tiger Orange,Wimbledon,The Last Song,"You, Me and Dupree",Birdman,Divine Secrets of the Ya-Ya Sisterhood,Warrior,42
Duel in the Sun,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",A Mighty Heart,A Most Wanted Man,Chappie,My Girl,Let's Kill Ward's Wife,Everyone Says I Love You,The Fighter,Blood and Chocolate,The Man from Snowy River
Best in Show,Darling Companion,ATL,Good Boy!,Beat the World,Aloha,The Outsiders,Beerfest,The Wicked Within,Hotel for Dogs,Far from Heaven
Escape from New York,Escape from Alcatraz,Deterrence,Lockout,Undisputed,Absolute Power,Machete Kills,"War, Inc.",Invasion U.S.A.,My Fellow Americans,Deep Impact
School Daze,Invasion U.S.A.,Lake of Fire,Reds,Letters from Iwo Jima,Deterrence,Epic,Christmas Eve,The Campaign,"South Park: Bigger, Longer & Uncut",Transamerica
Daddy Day Camp,From Justin to Kelly,Summer Storm,Friday the 13th Part 2,Holes,Cheaper by the Dozen 2,In the Land of Blood and Honey,Doc Holliday's Revenge,Adam Resurrected,Horse Camp,Employee of the Month
A Mighty Wind,Laws of Attraction,Metropolitan,Annie Hall,Changing Lanes,The Best Man,The Little Prince,A Most Violent Year,Mutual Friends,Dudley Do-Right,The Day After Tomorrow
Mystic Pizza,Aquamarine,Tanner Hall,The Last House on the Left,An Education,Revolutionary Road,Far from Heaven,The House Bunny,Spice World,Outside Providence,The Mighty Macs
Sliding Doors,Pulp Fiction,The Fountain,Whatever Works,Frida,The Mighty,The Ten,Train,Country Strong,Diary of a Mad Black Woman,Simon Birch
Tales from the Hood,After.Life,Keanu,Beloved,Proud,Only the Strong,Red Tails,The Horror Network Vol. 1,Elite Squad,Sugar Hill,Ghost Dog: The Way of the Samurai
The Last King of Scotland,Patch Adams,Paparazzi,The Country Doctor,Fear Clinic,Christmas with the Kranks,The Lake House,Dragonfly,The Living Daylights,The Addams Family,Chloe
Halloween 5: The Revenge of Michael Myers,Halloween: The Curse of Michael Myers,Halloween 4: The Return of Michael Myers,A Walk to Remember,Halloween: Resurrection,The Wraith,Love & Other Drugs,Choke,Sicko,Friends with Benefits,Halloween II
Bernie,A Madea Christmas,After.Life,Lesbian Vampire Killers,The Judge,The Cooler,Tales from the Hood,The Original Kings of Comedy,Coal Miner's Daughter,Cinderella Man,Ed Wood
Dolphins and Whales: Tribes of the Ocean,Deep Rising,Ice Age: Continental Drift,A Turtle's Tale: Sammy's Adventures,Sphere,The Descent,The Horse Boy,Ponyo,Ace Ventura: Pet Detective,Ocean's Thirteen,Eye of the Dolphin
Pollock,Lilya 4-ever,Invasion U.S.A.,Lake of Fire,The Iron Lady,Rudderless,Letters from Iwo Jima,Silver Medalist,Gods and Generals,Dinner for Schmucks,Martin Lawrence Live: Runteldat
200 Cigarettes,Redemption Road,Four Single Fathers,Interview with the Vampire,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Supporting Characters,Heavy Metal,Welcome to the Dollhouse,Desire,Igby Goes Down,Happiness
The Words,Femme Fatale,Fatal Attraction,A True Story,Envy,Barbecue,Midnight in Paris,He's Just Not That Into You,In Too Deep,There's Always Woodstock,A Thousand Words
Casa De Mi Padre,El Rey de Najayo,Rodeo Girl,Flicka,The Young and Prodigious T.S. Spivet,The Raid,Scarface,The Man from Snowy River,Kiss of the Dragon,Lone Wolf McQuade,Licence to Kill
City Island,Snow White: A Deadly Summer,Amnesiac,Changeling,Eulogy,Mirrors,Diary of the Dead,The Opposite Sex,The Names of Love,Defendor,The Borrowers
The Guard,The X Files: I Want to Believe,Mercury Rising,Switchback,American Hustle,Ballistic: Ecks vs. Sever,Penguins of Madagascar,Sicario,Maximum Risk,Suspect Zero,Now You See Me
College,Better Luck Tomorrow,There Goes My Baby,Project X,Cry_Wolf,Steppin: The Movie,High School Musical 3: Senior Year,The Best of Me,Gossip,Valentine's Day,American Graffiti
The Virgin Suicides,Light from the Darkroom,The Book Thief,Chocolat,Jimmy Neutron: Boy Genius,Melancholia,Carrie,Private Benjamin,Elling,Yentl,Jungle Shuffle
Little Voice,Trapeze,High School Musical 2,20 Feet from Stardom,Weekend,Little Boy,My Week with Marilyn,The Man from Snowy River,Somewhere in Time,Supercross,Miss Julie
Miss March,Seeking a Friend for the End of the World,Sex Drive,Karachi se Lahore,Superman III,Texas Chainsaw 3D,Vacation,Bubble Boy,Road Trip,The Cotton Club,Ghost World
Wish I Was Here,Mad Hot Ballroom,The Savages,Camping Sauvage,Underclassman,Blood and Wine,World's Greatest Dad,Secretariat,CJ7,School of Rock,Big Daddy
Simply Irresistible,Head Over Heels,What the #$*! Do We (K)now!?,Anything Else,The Mudge Boy,Remember Me,Mary Reilly,Running Forever,The Master of Disguise,The Pallbearer,Running with Scissors
Hedwig and the Angry Inch,Green Room,Down & Out With The Dolls,Almost Famous,The Doors,Rock Star,The Lives of Others,Mean Girls,Rent,B-Girl,The Flintstones in Viva Rock Vegas
Only the Strong,Shade,Keanu,Election,UnDivided,Freedom Writers,Light It Up,Tales from the Hood,21 Jump Street,Elite Squad,8 Days
Goddess of Love,"Sex, Lies, and Videotape",Faithful,The Crime of Padre Amaro,Rampage,Elza,Derailed,Alien Zone,Catch-22,Femme Fatale,Trainwreck
Shattered Glass,There Be Dragons,The Ten,Banshee Chapter,The Devil Wears Prada,Basic Instinct 2,8 Mile,Friends with Benefits,Aloft,The Revenant,Dream House
Novocaine,Born Of War,The Face of an Angel,The Secret,Frenzy,Drowning Mona,Marvin's Room,Snow Dogs,Ghost Town,K-PAX,Bled
The Business of Strangers,The Real Cancun,The Ladies Man,8 Women,Very Bad Things,Unaccompanied Minors,Dirty Pretty Things,The Jimmy Show,Coraline,Project X,Truth or Dare
The Wild Bunch,The Mechanic,Shadow Conspiracy,Spy Game,The Score,Pushing Tin,The Assassination of Jesse James by the Coward Robert Ford,Torque,Faster,West Side Story,The Bridges of Madison County
The Wackness,An Education,A Most Violent Year,25th Hour,Get Rich or Die Tryin',Wolves,October Baby,On the Outs,Four Single Fathers,Laws of Attraction,The Last House on the Left
The First Great Train Robbery,The Train,Gangster's Paradise: Jerusalema,We're the Millers,The League of Extraordinary Gentlemen,Train,Checkmate,Harley Davidson and the Marlboro Man,Wild Wild West,Mad Money,The 51st State
Morvern Callar,But I'm a Cheerleader,Inside Llewyn Davis,Little Black Book,All or Nothing,Imaginary Heroes,The Good Girl,Train,Bait,Two Girls and a Guy,The Amazing Catfish
Beastmaster 2: Through the Portal of Time,The Lego Movie,Flight of the Phoenix,Resident Evil: Extinction,The Love Guru,The Devil's Tomb,Rubber,My Life in Ruins,The House of Sand,The Hills Have Eyes 2,The Hurt Locker
The 5th Quarter,Elmer Gantry,Flash Gordon,We Are Marshall,Amores perros,Underdogs,90 Minutes in Heaven,And Then Came Love,Cat on a Hot Tin Roof,Bambi,The Waterboy
The Greatest,The Gambler,Niagara,Analyze That,You Can Count on Me,The Rose,Radio Flyer,Quinceañera,The 5th Quarter,The Ballad of Jack and Rose,The Net
Snow Flower and the Secret Fan,Les Misérables,Corpse Bride,Cheri,Mortdecai,The Omega Code,House of Flying Daggers,The Love Letter,The Time Machine,The Age of Innocence,Dolphin Tale
Come Early Morning,Choke,Amnesiac,A Guy Thing,The Family Man,Tammy,The Spy Next Door,1408,The Amazing Catfish,It's Kind of a Funny Story,8: The Mormon Proposition
Lucky Break,Run All Night,Bubble Boy,Penitentiary,The Tuxedo,Things to Do in Denver When You're Dead,Escape Plan,Kiss of Death,Let's Go to Prison,The Whole Nine Yards,Perfect Cowboy
Julia,Amen.,Nowhere in Africa,Fury,Spy Game,The Blues Brothers,The Business of Fancydancing,Torn Curtain,Lockout,Apocalypse Now,The Boys from Brazil
"Surfer, Dude",Chairman of the Board,Soul Surfer,Chasing Mavericks,The Perfect Wave,Supporting Characters,"20,000 Leagues Under the Sea",Riding Giants,The Ring Two,Red Planet,Poseidon
Lake of Fire,Invasion U.S.A.,Letters from Iwo Jima,Oldboy,The Best Man Holiday,School Daze,Reds,Taxi to the Dark Side,Deterrence,Love Letters,True Lies
11:14,Jumping the Broom,Shortbus,Monsoon Wedding,The Little Prince,The Face of an Angel,A Mighty Wind,The Village,Driving Miss Daisy,Boyhood,The Last Airbender
Men of War,The Dilemma,Thank You for Smoking,Nick and Norah's Infinite Playlist,The Corruptor,Are We There Yet?,Youth in Revolt,Brokedown Palace,Anderson's Cross,Romance & Cigarettes,Headhunters
Don McKay,The Best of Me,Walking Tall,Young Adult,My Soul to Take,The Judge,Mr. Turner,Sunshine State,Welcome to Mooseport,"I Love You, Don't Touch Me!",Baahubali: The Beginning
Deadfall,Reindeer Games,Swelter,The Family Stone,Machine Gun McCain,Love the Coopers,The Good Thief,Madea's Family Reunion,Timecop,Beerfest,Peeples
A Shine of Rainbows,Bogus,The Polar Express,Life of Pi,Middle of Nowhere,The Jungle Book,Birth,Secondhand Lions,Duma,Along the Roadside,Shipwrecked
The Hit List,Very Bad Things,My Life Without Me,Now Is Good,Legends of Oz: Dorothy's Return,Mean Girls,New Nightmare,Compadres,High Plains Drifter,The Change-Up,The Faculty
Emma,Ink,The Broadway Melody,Edge of Darkness,The Saint,No Strings Attached,Alex & Emma,One Day,I Am Love,The House of Mirth,Howards End
Videodrome,Chronicle,Network,UHF,The Social Network,The I Inside,Trust the Man,Deuce Bigalow: Male Gigolo,The Helpers,Twilight Zone: The Movie,15 Minutes
Song One,The Savages,Scott Walker: 30 Century Man,I Want Someone to Eat Cheese With,Furious 7,Eye of the Dolphin,The Royal Tenenbaums,Rust,Amour,Warrior,Dead Man's Shoes
Freaky Deaky,Across the Universe,Black Christmas,The Hurt Locker,Blast from the Past,District B13,The Walk,30 Minutes or Less,Hidalgo,Austin Powers: International Man of Mystery,Fight Club
The Train,The First Great Train Robbery,Hugo,Train,Maze Runner: The Scorch Trials,Valkyrie,The Peacemaker,Never Back Down 2: The Beatdown,Grace of Monaco,Saving Private Ryan,The Girl on the Train
Trade Of Innocents,Skin Trade,Knowing,Glitter,The Quiet American,Double Impact,Along Came a Spider,Queen of the Mountains,Mama,The Little Prince,The Red Violin
Stiff Upper Lips,The Kentucky Fried Movie,Stung,A Haunted House,Cheri,American Desi,Tarnation,Dil Jo Bhi Kahey...,Daddy Day Camp,Catch-22,The Big Tease
Bend It Like Beckham,Focus,Butterfly,Gracie,Crossover,Shaolin Soccer,Orgazmo,Midnight Cabaret,Ishtar,Wild Card,The Longest Yard
Sunshine State,Glengarry Glen Ross,Don McKay,Young Adult,Walking Tall,My Soul to Take,The Loss of Sexual Innocence,The Judge,They Came Together,Welcome to Mooseport,Escobar: Paradise Lost
Crossover,On the Road,Blue Like Jazz,Stay Alive,The Transporter Refueled,Groove,Midnight Cabaret,The Damned United,Ishtar,Snatch,The Family Man
Khiladi 786,From Russia with Love,Evil Dead,A Nightmare on Elm Street 5: The Dream Child,Die Hard: With a Vengeance,Scary Movie 3,Mission: Impossible - Ghost Protocol,Lethal Weapon 4,The Transporter Refueled,My Blueberry Nights,Back to the Future Part III
[REC]²,The Raid,Containment,Sex Tape,Held Up,Winged Migration,Pixels,Alone With Her,Sunshine,The Wicked Lady,Good Dick
Standing Ovation,Diary of the Dead,Hits,Young Guns,Tanner Hall,Sunday School Musical,New York Minute,The Big Year,American Outlaws,Sex Tape,Chariots of Fire
The Sting,Porky's,The Usual Suspects,Dead Man Down,Street Fighter: The Legend of Chun-Li,Mean Streets,The Torture Chamber of Dr. Sadism,Sleepers,Pulp Fiction,Fantastic Mr. Fox,Life as a House
Chariots of Fire,The Other Dream Team,The Iceman,Seabiscuit,Diary of a Wimpy Kid: Dog Days,"McFarland, USA",Proud,The Railway Man,Cradle Will Rock,Standing Ovation,The 33
Diary of a Mad Black Woman,H.,Death Becomes Her,Hell's Angels,The Eye,Madea Goes to Jail,The Edge,Madea's Family Reunion,Raising Helen,Sea of Love,Sliding Doors
Shine,The Libertine,Starsuckers,The Pianist,Two Brothers,Once Upon a Time in America,The Piano,Jumper,When Harry Met Sally...,The Stepfather,Firestarter
Don Jon,The Jimmy Show,Frozen,Joy Ride,Lars and the Real Girl,The Cookout,The Station Agent,Indignation,Spirit: Stallion of the Cimarron,Dogma,Life During Wartime
High Plains Drifter,Kill Bill: Vol. 2,Peaceful Warrior,Hearts in Atlantis,See Spot Run,Waking Ned,Hot Pursuit,The Wailing,Fly Me to the Moon,8MM,American Pie 2
Ghost World,Danny Collins,The Switch,Win a Date with Tad Hamilton!,Notes on a Scandal,Identity,The Lizzie McGuire Movie,Unfriended,Miss March,Grease,Hard Candy
Iris,A Separation,Rise of the Planet of the Apes,Deep Blue Sea,Your Sister's Sister,The Notebook,The 33,The Iceman,Dear John,50/50,Veronica Guerin
Galaxina,Master and Commander: The Far Side of the World,The Blue Lagoon,In the Heart of the Sea,Serenity,The Black Hole,Thor,Entrapment,Ghost Ship,From Here to Eternity,Good Boy!
Mambo Italiano,My Big Fat Greek Wedding 2,My Big Fat Independent Movie,Captain Corelli's Mandolin,My Big Fat Greek Wedding,The Broken Hearts Club: A Romantic Comedy,The Master of Disguise,Disaster Movie,The Bélier Family,A Man for All Seasons,Another Happy Day
Wonderland,I Come with the Rain,Lethal Weapon 3,Friday,The Glimmer Man,Frequency,Water & Power,Kiss Kiss Bang Bang,S.W.A.T.,Insomnia,Escape from L.A.
Do the Right Thing,Song One,Edmond,Out of Inferno,Bowling for Columbine,Captain America: The First Avenger,Goal!: The Dream Begins,Straight Out of Brooklyn,Step Up 2: The Streets,Blood Ties,This Is 40
Harvard Man,The Woman in Black,The Bubble,The Darkest Hour,Margaret,From Hell,Stardust,Never Again,My Big Fat Greek Wedding,Eyes Wide Shut,He Got Game
Le Havre,Unknown,8MM,Shinjuku Incident,Out of Africa,Return to the Blue Lagoon,Frozen River,Albino Alligator,Ghost Rider,The Patriot,Stolen Summer
R100,Central Intelligence,Identity Thief,Death Sentence,Daddy's Home,Edmond,Date Night,Superman,Catwoman,Paul Blart: Mall Cop,Whiplash
Rang De Basanti,Monsters University,A Passage to India,Patch Adams,Paa,Kama Sutra - A Tale of Love,Paranormal Activity,Namastey London,Bright Star,Spice World,Unfriended
Animals,Lord of War,I Am Number Four,Confidence,Hayride,The Lunchbox,The Curious Case of Benjamin Button,"Lovely, Still",Silent Hill: Revelation 3D,Duplex,To Write Love on Her Arms
Salvation Boulevard,Saved!,The Masked Saint,Blonde Ambition,Tank Girl,Donkey Punch,The Nutcracker,Supercapitalist,Sky High,Fifty Shades of Grey,Shin Godzilla
The Ten,Breakin' All the Rules,Alien Zone,Heavy Metal,Creepshow,Bedtime Stories,Movie 43,Crash,The Fountain,Aroused,The Fall of the Roman Empire
A Room for Romeo Brass,Roadside Romeo,The Return,Evolution,Zathura: A Space Adventure,The Indian in the Cupboard,The Chorus,Bad Grandpa,Y Tu Mamá También,Romeo + Juliet,Ghost World
Grabbers,You Kill Me,The Brothers Grimm,C.H.U.D.,Hot Pursuit,Ondine,Over the Hedge,Brooklyn,Meet Dave,Alien: Resurrection,Don't Be Afraid of the Dark
Saint Ralph,Wreck-It Ralph,The Wicked Lady,Wah-Wah,A Christmas Story,"Good bye, Lenin!",The Chorus,Spotlight,Paa,Doubt,Cavite
Miss Julie,The Wind That Shakes the Barley,Michael Collins,Chloe,Ronin,The Man from Snowy River,Hidalgo,Eye of the Dolphin,Little Voice,Extremely Loud & Incredibly Close,The Molly Maguires
Somewhere in Time,The Rocket: The Legend of Rocket Richard,Never Again,Vaalu,Married Life,Heartbeeps,Kate & Leopold,The Fugitive,Aladdin,Birdman,The Work and The Story
Dum Maaro Dum,N-Secure,Shame,Lucky Number Slevin,Town & Country,Salton Sea,Never Back Down,Charly,Dancin' It's On,Maze Runner: The Scorch Trials,Space Chimps
Insidious: Chapter 2,Scary Movie 4,Restoration,Insidious: Chapter 3,The Grudge,Hayride,Half Baked,Out of the Dark,Furious 7,Witchboard,Happiness
Saw II,Saw VI,Saw IV,Saw: The Final Chapter,Punisher: War Zone,Saw V,Def Jam's How to Be a Player,Saw III,The Sticky Fingers of Time,A Simple Plan,Cure
10 Cloverfield Lane,Jingle All the Way,Premonition,Not Easily Broken,Unknown,The Hoax,The Majestic,90 Minutes in Heaven,The 5th Quarter,Super Hybrid,The Aviator
Jackass: The Movie,Jackass Number Two,Jackass 3D,Disaster Movie,Ghost Rider,The Outsiders,Jay and Silent Bob Strike Back,What to Expect When You're Expecting,The Adventures of Rocky & Bullwinkle,Madea Goes to Jail,Tim and Eric's Billion Dollar Movie
Lights Out,Insidious: Chapter 2,Tom Jones,Trust the Man,Green Street Hooligans: Underground,Fun Size,The Apparition,Paycheck,Ouija,The Visit,Dude Where's My Dog?
Paranormal Activity 3,Ask Me Anything,"For a Good Time, Call...",The Orphanage,Abandon,Paranormal Activity 4,Dungeons & Dragons: Wrath of the Dragon God,Sinister,The Story of Us,Neighbors 2: Sorority Rising,Dude Where's My Dog?
Ouija,Witchboard,Big Hero 6,The Conjuring,The Ruins,Percy Jackson: Sea of Monsters,U.F.O.,Final Destination 5,Little White Lies,Two Girls and a Guy,Little Nicholas
